feature,total_rows,changed_predictions,changed_percentage,accuracy_original,accuracy_transformed
afspraak_aantal_woorden,130000,0,0.0,0.9251,0.9251
afspraak_laatstejaar_aantal_woorden,130000,0,0.0,0.9251,0.9251
belemmering_dagen_psychische_problemen,130000,0,0.0,0.9251,0.9251
belemmering_hist_psychische_problemen,130000,0,0.0,0.9251,0.9251
belemmering_hist_taal,130000,0,0.0,0.9251,0.9251
belemmering_psychische_problemen,130000,0,0.0,0.9251,0.9251
competentie_ethisch_en_integer_handelen,130000,0,0.0,0.9251,0.9251
competentie_gedrevenheid_en_ambitie_tonen,130000,0,0.0,0.9251,0.9251
competentie_met_druk_en_tegenslag_omgaan,130000,0,0.0,0.9251,0.9251
competentie_omgaan_met_verandering_en_aanpassen,130000,0,0.0,0.9251,0.9251
contacten_onderwerp_beoordelen_taaleis,130000,0,0.0,0.9251,0.9251
contacten_onderwerp_boolean_beoordelen_taaleis,130000,0,0.0,0.9251,0.9251
contacten_onderwerp_boolean_taaleis___voldoet,130000,0,0.0,0.9251,0.9251
persoon_geslacht_vrouw,130000,0,0.0,0.9251,0.9251
persoon_leeftijd_bij_onderzoek,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_communicatie_opm,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_doorzettingsvermogen_opm,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_flexibiliteit_opm,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_hobbies_sport,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_houding_opm,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_initiatief_opm,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_leergierigheid_opm,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_motivatie_opm,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_nl_begrijpen3,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_nl_lezen3,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_nl_lezen4,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_nl_schrijven0,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_nl_schrijven1,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_nl_schrijven2,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_nl_schrijven3,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_nl_schrijvenfalse,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_nl_spreken1,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_nl_spreken2,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_nl_spreken3,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_presentatie_opm,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_spreektaal,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_spreektaal_anders,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_taaleis_schrijfv_ok,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_taaleis_voldaan,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_uiterlijke_verzorging_opm,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_uitstroom_verw_vlgs_klant,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_uitstroom_verw_vlgs_km,130000,0,0.0,0.9251,0.9251
persoonlijke_eigenschappen_zelfstandigheid_opm,130000,0,0.0,0.9251,0.9251
relatie_kind_basisschool_kind,130000,0,0.0,0.9251,0.9251
relatie_kind_heeft_kinderen,130000,0,0.0,0.9251,0.9251
relatie_kind_huidige_aantal,130000,0,0.0,0.9251,0.9251
relatie_kind_jongvolwassen,130000,0,0.0,0.9251,0.9251
relatie_kind_leeftijd_verschil_ouder_eerste_kind,130000,0,0.0,0.9251,0.9251
relatie_kind_tiener,130000,0,0.0,0.9251,0.9251
relatie_kind_volwassen,130000,0,0.0,0.9251,0.9251
relatie_overig_actueel_vorm__gemachtigde,130000,0,0.0,0.9251,0.9251
relatie_overig_actueel_vorm__onderhoudsplichtige,130000,0,0.0,0.9251,0.9251
relatie_overig_actueel_vorm__ouders_verzorgers,130000,0,0.0,0.9251,0.9251
relatie_overig_actueel_vorm_other,130000,0,0.0,0.9251,0.9251
relatie_overig_bewindvoerder,130000,0,0.0,0.9251,0.9251
relatie_overig_historie_vorm__andere_inwonende,130000,0,0.0,0.9251,0.9251
relatie_overig_historie_vorm__gemachtigde,130000,0,0.0,0.9251,0.9251
relatie_overig_historie_vorm__kostendeler,130000,0,0.0,0.9251,0.9251
relatie_overig_historie_vorm__onderhoudsplichtige,130000,0,0.0,0.9251,0.9251
relatie_overig_kostendeler,130000,0,0.0,0.9251,0.9251
relatie_partner_aantal_partner___partner__gehuwd_,130000,0,0.0,0.9251,0.9251
relatie_partner_aantal_partner___partner__ongehuwd_,130000,0,0.0,0.9251,0.9251
relatie_partner_huidige_partner___partner__gehuwd_,130000,0,0.0,0.9251,0.9251
relatie_partner_totaal_dagen_partner,130000,0,0.0,0.9251,0.9251
